Name,StopId,StreetNumber,StreetName,SuburbId,StateId,CountryId,PostCode,EntranceType,Latitude,Longitude,ExitNumber
Railway,983,25,Railway Street,13930,5,2,2256,Lift,-33.485857,151.323384,NULL
Railway,982,9,Railway Street,13930,5,2,2256,Ramp,-33.485273,151.323725,NULL
Railway,984,44,Railway Street,13930,5,2,2256,Stairs,-33.485978,151.323215,NULL
Wyee,985,NULL,NULL,13985,5,2,2259,Ramp,-33.179840,151.487240,NULL
Gorokan,986,16,Gorokan Road,13985,5,2,2259,Stairs,-33.180164,151.486856,NULL
Howarth,1001,47,Howarth Street,14006,5,2,2259,Lift,-33.285332,151.425549,NULL
Howarth,1000,51,Howarth Street,14006,5,2,2259,Stairs,-33.285083,151.425599,NULL
Pacific,1002,72,Pacific Highway,14006,5,2,2259,Lift,-33.285249,151.425220,NULL
Pacific,1003,84,Pacific Highway,14006,5,2,2259,Stairs,-33.285322,151.425158,NULL
Hume,1004,NULL,NULL,14026,5,2,2199,Path,-33.907331,151.024676,NULL
Railway,1008,39,Nelson Road,14181,5,2,2161,Ramp,-33.865029,150.970716,NULL
Railway,1007,38,Nelson Road,14181,5,2,2161,Stairs,-33.864988,150.970808,NULL
Nelson,1006,33,Nelson Road,14181,5,2,2161,Stairs,-33.864620,150.970945,NULL
Railway,1005,NULL,Railway Street,14181,5,2,2161,Stairs,-33.864882,150.971040,NULL
Old Hume,1009,40,Old Hume Highway,14191,5,2,2575,Path,-34.371592,150.543448,NULL
Botany,338,NULL,NULL,14265,5,2,2017,Stairs,-33.905966,151.203077,NULL
