SchoolCode,SchoolName,StreetNumber,StreetName,SuburbId,StateId,CountryId,LevelOfSchooling,Latitude,Longitude,SchoolSpecialtyType,SchoolSubType,SchoolGender,ICSEAValue
7445,Woy Woy Public School,23,Bowden Road,13930,5,2,Primary School,-33.491705,151.328247,Comprehensive,Kinder to Year 6,Coed,982
4329,Woy Woy South Public School,220,Ocean Beach Road,13930,5,2,Primary School,-33.503577,151.321429,Comprehensive,Kinder to Year 6,Coed,947
3518,Wyalong Public School,25,Conway Street,13967,5,2,Primary School,-33.923925,147.242070,Comprehensive,Kinder to Year 6,Coed,883
3521,Wyangala Dam Public School,9,Winga Road,13971,5,2,Primary School,-33.966981,148.947211,Comprehensive,Kinder to Year 6,Coed,884
3522,Wyee Public School,29,Badjewoi Street,13985,5,2,Primary School,-33.174833,151.482961,Comprehensive,Kinder to Year 6,Coed,944
8277,Wyndham College,NULL,NULL,11067,5,2,Secondary School,-33.724004,150.875297,Senior College,Year 11 to Year 12,Coed,NULL
3525,Wyndham Public School,NULL,NULL,NULL,5,2,Primary School,-36.929620,149.646560,Comprehensive,Kinder to Year 6,Coed,903
4397,Wyoming Public School,7,Veronica Crescent,14005,5,2,Primary School,-33.408202,151.355782,Comprehensive,Kinder to Year 6,Coed,946
3528,Wyong Creek Public School,583,Yarramalong Road,14007,5,2,Primary School,-33.267129,151.348070,Comprehensive,Kinder to Year 6,Coed,1047
8166,Wyong High School,53,Alison Road,14006,5,2,Secondary School,-33.281328,151.417918,Comprehensive,Year 7 to Year 12,Coed,951
3527,Wyong Public School,52,Cutler Drive,14006,5,2,Primary School,-33.271886,151.426188,Comprehensive,Kinder to Year 6,Coed,942
3529,Wyrallah Public School,29,Agnes Street,14009,5,2,Primary School,-28.890407,153.305718,Comprehensive,Kinder to Year 6,Coed,903
3856,Wyrallah Road Public School,152,Nielson Street,4015,5,2,Primary School,-28.830301,153.293261,Comprehensive,Kinder to Year 6,Coed,972
4556,Wytaliba Public School,11780,Old Grafton Road,3656,5,2,Primary School,-29.691603,152.110359,Comprehensive,Kinder to Year 6,Coed,789
3869,Yagoona Public School,7,Mulla Road,14026,5,2,Primary School,-33.909174,151.026716,Comprehensive,Kinder to Year 6,Coed,980
3533,Yamba Public School,7,Mulgi Street,14057,5,2,Primary School,-29.439524,153.353157,Comprehensive,Kinder to Year 6,Coed,983
8144,Yanco Agricultural High School,NULL,Unnamed Road,14066,5,2,Secondary School,-34.632239,146.383678,Agricultural,Year 7 to Year 12,Coed,1007
3536,Yanco Public School,72,Progress Street,14066,5,2,Primary School,-34.597911,146.411211,Comprehensive,Kinder to Year 6,Coed,853
3537,Yanderra Public School,NULL,NULL,14070,5,2,Primary School,-34.320475,150.571244,Comprehensive,Kinder to Year 6,Coed,907
4298,Yarrawarrah Public School,NULL,NULL,14137,5,2,Primary School,-34.056574,151.026137,Comprehensive,Kinder to Year 6,Coed,1062
3547,Yarrowitch Public School,48,Chandlers Road,14146,5,2,Primary School,-31.250590,151.948210,Comprehensive,Kinder to Year 6,Coed,927
8334,Yass High School,NULL,NULL,14151,5,2,Secondary School,-34.835474,148.911066,Comprehensive,Year 7 to Year 12,Coed,979
3549,Yass Public School,14,Laidlaw Street,14151,5,2,Primary School,-34.837588,148.906865,Comprehensive,Kinder to Year 6,Coed,1024
4157,Yates Avenue Public School,71,Yates Avenue,3883,5,2,Primary School,-33.795608,151.058398,Comprehensive,Kinder to Year 6,Coed,997
3554,Yenda Public School,41,Mirrool Avenue,14178,5,2,Primary School,-34.252389,146.198309,Comprehensive,Kinder to Year 6,Coed,988
3986,Yennora Public School,6-12,Ellis Parade,14181,5,2,Primary School,-33.866826,150.970993,Comprehensive,Kinder to Year 6,Coed,918
5120,Yeo Park Infants School,NULL,NULL,334,5,2,Infants School,-33.902692,151.130055,Comprehensive,Kinder to Year 2,Coed,NULL
3555,Yeoval Central School,NULL,NULL,14184,5,2,Central/Community School,-32.754375,148.649673,Comprehensive,Kinder to Year 12,Coed,924
3556,Yerong Creek Public School,1,Hay Street,14188,5,2,Primary School,-35.386787,147.060987,Comprehensive,Kinder to Year 6,Coed,956
3559,Yetman Public School,64,Warialda Street,14196,5,2,Primary School,-28.902219,150.776261,Comprehensive,Kinder to Year 6,Coed,1061
3561,Yoogali Public School,1,East Street,14213,5,2,Primary School,-34.299691,146.086176,Comprehensive,Kinder to Year 6,Coed,911
4482,York Public School,224,Evan Street,11405,5,2,Primary School,-33.777111,150.698124,Comprehensive,Kinder to Year 6,Coed,969
8155,Young High School,11,Campbell Street,14231,5,2,Secondary School,-34.317142,148.291705,Comprehensive,Year 7 to Year 12,Coed,929
4131,Young North Public School,26,Mclerie Street,14231,5,2,Primary School,-34.311036,148.305408,Comprehensive,Kinder to Year 6,Coed,907
3563,Young Public School,19,Bruce Street,14231,5,2,Primary School,-34.321407,148.290231,Comprehensive,Kinder to Year 6,Coed,971
4124,Yowie Bay Public School,64,Warrah Road,14238,5,2,Primary School,-34.048155,151.102761,Comprehensive,Kinder to Year 6,Coed,1099
3566,Zig Zag Public School,9,Mills Street,9641,5,2,Primary School,-33.466136,150.182826,Comprehensive,Kinder to Year 6,Coed,919
