SchoolCode,SchoolName,StreetNumber,StreetName,Suburb,District,StateName,PostCode,CountryName,LevelOfSchooling,SchoolSubType,LocationLatitude,LocationLongitude,SchoolGender,SchoolSpecialityType
3225,Tocumwal Public School,32,Falkiner Street,Tocumwal,,New South Wales,2714,Australia,Primary School,Kinder to Year 6,-35.813862,145.568850,Coed,Comprehensive
3226,Tomerong Public School,359,Hawken Road,Tomerong,,New South Wales,2540,Australia,Primary School,Kinder to Year 6,-35.054973,150.587182,Coed,Comprehensive
3235,Tooleybuc Central School,87,Murray Street,Tooleybuc,,New South Wales,2736,Australia,Central/Community School,Kinder to Year 12,-35.026575,143.338058,Coed,Comprehensive
3236,Main Arm Upper Public School,1129,Main Arm Road,Upper Main Arm,,New South Wales,2482,Australia,Primary School,Kinder to Year 6,-28.498479,153.412410,Coed,Comprehensive
3239,Toomelah Public School,NULL,Unnamed Road,Boggabilla,,New South Wales,2409,Australia,Primary School,Kinder to Year 6,-28.670903,150.478952,Coed,Comprehensive
3240,Toongabbie Public School,59,Fitzwilliam Road,Old Toongabbie,,New South Wales,2146,Australia,Primary School,Kinder to Year 6,-33.787181,150.966667,Coed,Comprehensive
3242,Tooraweenah Public School,NULL,John Renshaw Parkway,Tooraweenah,,New South Wales,2831,Australia,Primary School,Kinder to Year 6,-31.434763,148.912216,Coed,Comprehensive
3247,Toronto Public School,81,B53,Toronto,,New South Wales,2283,Australia,Primary School,Kinder to Year 6,-33.008260,151.594778,Coed,Comprehensive
3249,Tottenham Central School,57,Merilba Street,Tottenham,,New South Wales,2873,Australia,Central/Community School,Kinder to Year 12,-32.245635,147.352100,Coed,Comprehensive
3250,Toukley Public School,NULL,NULL,Noraville,,New South Wales,2263,Australia,Primary School,Kinder to Year 6,-33.267795,151.550307,Coed,Comprehensive
3252,Towamba Public School,7,Towamba Street,Towamba,,New South Wales,2550,Australia,Primary School,Kinder to Year 6,-37.084209,149.695158,Coed,Comprehensive
3254,Trangie Central School,31,Derribong Street,Trangie,,New South Wales,2823,Australia,Central/Community School,Kinder to Year 12,-32.032544,147.979305,Coed,Comprehensive
3255,Tregeagle Public School,808,Tregeagle Road,Tregeagle,,New South Wales,2480,Australia,Primary School,Kinder to Year 6,-28.854095,153.354412,Coed,Comprehensive
3259,Trundle Central School,3,Croft Street,Trundle,,New South Wales,2875,Australia,Central/Community School,Kinder to Year 12,-32.925365,147.709198,Coed,Comprehensive
3260,Trunkey Public School,NULL,Carlyle Street,Trunkey Creek,,New South Wales,2795,Australia,Primary School,Kinder to Year 6,-33.816498,149.326253,Coed,Comprehensive
3263,Tucabia Public School,4,Cordini Street,Tucabia,,New South Wales,2462,Australia,Primary School,Kinder to Year 6,-29.666698,153.106575,Coed,Comprehensive
3269,Tuggerah Public School,1,Pacific Highway,Tuggerah,,New South Wales,2259,Australia,Primary School,Kinder to Year 6,-33.312999,151.415571,Coed,Comprehensive
3270,Tullamore Central School,3,Cardigan Street,Tullamore,,New South Wales,2874,Australia,Central/Community School,Kinder to Year 12,-32.636788,147.565993,Coed,Comprehensive
3272,Tullibigeal Central School,23,Milbee Street,Tullibigeal,,New South Wales,2669,Australia,Central/Community School,Kinder to Year 12,-33.422886,146.722678,Coed,Comprehensive
3275,Tumbarumba Public School,39,Bridge Street,Tumbarumba,,New South Wales,2653,Australia,Primary School,Kinder to Year 6,-35.776350,148.013814,Coed,Comprehensive
3277,Tumbulgum Public School,16,Bawden Street,Tumbulgum,,New South Wales,2490,Australia,Primary School,Kinder to Year 6,-28.273997,153.463358,Coed,Comprehensive
3278,Tumut Public School,71,Simpson Street,Tumut,,New South Wales,2720,Australia,Primary School,Kinder to Year 6,-35.302393,148.218556,Coed,Comprehensive
3283,Tuntable Creek Public School,NULL,NULL,Tuntable Creek,,New South Wales,2480,Australia,Primary School,Kinder to Year 6,-28.631760,153.266152,Coed,Comprehensive
3288,Turramurra North Public School,241,Bobbin Head Road,North Turramurra,,New South Wales,2074,Australia,Primary School,Kinder to Year 6,-33.714724,151.147816,Coed,Comprehensive
3290,Tweed Heads Public School,12,Stuart Street,Tweed Heads,,New South Wales,2485,Australia,Primary School,Kinder to Year 6,-28.169510,153.541571,Coed,Comprehensive
3293,Tyalgum Public School,3,Coolman Street,Tyalgum,,New South Wales,2484,Australia,Primary School,Kinder to Year 6,-28.354475,153.204978,Coed,Comprehensive
3298,Uki Public School,1473,Kyogle Road,Uki,,New South Wales,2484,Australia,Primary School,Kinder to Year 6,-28.415027,153.334263,Coed,Comprehensive
3300,Ulan Public School,34,Main Street,Ulan,,New South Wales,2850,Australia,Primary School,Kinder to Year 6,-32.282054,149.743473,Coed,Comprehensive
3302,Ulladulla Public School,241,Green Street,Ulladulla,,New South Wales,2539,Australia,Primary School,Kinder to Year 6,-35.355186,150.469434,Coed,Comprehensive
3303,Ulmarra Public School,NULL,River Street,Ulmarra,,New South Wales,2462,Australia,Primary School,Kinder to Year 6,-29.629006,153.030932,Coed,Comprehensive
3304,Ulong Public School,20-22,Hutchinson Street,Ulong,,New South Wales,2450,Australia,Primary School,Kinder to Year 6,-30.243019,152.884857,Coed,Comprehensive
3305,Ultimo Public School,51,Jones Street,Ultimo,,New South Wales,2007,Australia,Primary School,Kinder to Year 6,-33.877674,151.195607,Coed,Comprehensive
3308,Unanderra Public School,47A,Derribong Drive,Cordeaux Heights,,New South Wales,2526,Australia,Primary School,Kinder to Year 6,-34.445456,150.834704,Coed,Comprehensive
3310,Undercliffe Public School,143-157,Bayview Avenue,Earlwood,,New South Wales,2206,Australia,Primary School,Kinder to Year 6,-33.924086,151.138601,Coed,Comprehensive
3311,Ungarie Central School,NULL,NULL,Ungarie,,New South Wales,2669,Australia,Central/Community School,Kinder to Year 12,-33.637104,146.977953,Coed,Comprehensive
3314,Urana Public School,62,William Street,Urana,,New South Wales,2645,Australia,Primary School,Kinder to Year 6,-35.327460,146.267129,Coed,Comprehensive
3316,Urbenville Public School,21,Beaury Street,Urbenville,,New South Wales,2475,Australia,Primary School,Kinder to Year 6,-28.473480,152.545565,Coed,Comprehensive
3318,Urunga Public School,NULL,NULL,Urunga,,New South Wales,2455,Australia,Primary School,Kinder to Year 6,-30.495206,153.020428,Coed,Comprehensive
3321,Vacy Public School,786,Gresford Road,Vacy,,New South Wales,2421,Australia,Primary School,Kinder to Year 6,-32.542180,151.577555,Coed,Comprehensive
3325,Vaucluse Public School,24,Cambridge Avenue,Vaucluse,,New South Wales,2030,Australia,Primary School,Kinder to Year 6,-33.850478,151.281166,Coed,Comprehensive
3328,Carramar Public School,29,The Horsley Drive,Villawood,,New South Wales,2163,Australia,Primary School,Kinder to Year 6,-33.885512,150.969204,Coed,Comprehensive
