TransportId,Name,StopId,StreetNumber,StreetName,Suburb,PostCode,State,Country,EntranceType,Latitude,Longitude,ExitNumber
6542,Lindfield,480,9,Lindfield Avenue,Lindfield,2070,New South Wales,Australia,Ramp,-33.775267,151.169370,NULL
6543,Pacific,481,1-5,Tryon Place,Lindfield,2070,New South Wales,Australia,Stairs,-33.775954,151.169300,NULL
6544,Lindfield,482,NULL,NULL,Lindfield,2070,New South Wales,Australia,Stairs,-33.775087,151.169230,NULL
6545,Pacific,483,1-5,Tryon Place,Lindfield,2070,New South Wales,Australia,Ramp,-33.775738,151.169107,NULL
6546,Pacific,484,331,A1,Lindfield,2070,New South Wales,Australia,Stairs,-33.775702,151.169076,NULL
6547,Pacific,485,58,Railway Crescent,Lisarow,2250,New South Wales,Australia,Stairs,-33.382184,151.370179,NULL
6548,Pacific,486,58,Railway Crescent,Lisarow,2250,New South Wales,Australia,Path,-33.382192,151.370165,NULL
6549,Railway,487,5,Awaba Street,Lisarow,2250,New South Wales,Australia,Stairs,-33.382071,151.370084,NULL
6550,Railway,488,5,Awaba Street,Lisarow,2250,New South Wales,Australia,Path,-33.382059,151.370071,NULL
6551,Main,489,114,Main Street,Lithgow,2790,New South Wales,Australia,Path,-33.480925,150.156929,NULL
6552,Railway,490,57,Railway Parade,Lithgow,2790,New South Wales,Australia,Path,-33.480516,150.156706,NULL
6553,Moore,491,140,Bigge Street,Liverpool,2170,New South Wales,Australia,Path,-33.923146,150.927698,NULL
6554,Biggs,492,256,Bigge Street,Liverpool,2170,New South Wales,Australia,Lift,-33.924384,150.926997,NULL
6555,Biggs,493,256,Bigge Street,Liverpool,2170,New South Wales,Australia,Stairs,-33.924304,150.926937,NULL
6556,Station,494,238,Station Lane,Lochinvar,2321,New South Wales,Australia,Ramp,-32.720483,151.450531,NULL
6557,Station,495,NULL,NULL,Lochinvar,2321,New South Wales,Australia,Ramp,-32.720394,151.450481,NULL
6558,Pitt,496,NULL,NULL,Loftus,2232,New South Wales,Australia,Ramp,-34.044999,151.051388,NULL
6559,Loftus,497,113,Loftus Lane,Loftus,2232,New South Wales,Australia,Ramp,-34.045454,151.051209,NULL
6560,Recycling,498,LOT 1,Springhill Road,Spring Hill,2500,New South Wales,Australia,Stairs,-34.454811,150.875214,NULL
6561,Menangle,499,NULL,Menangle Road,Campbelltown,2560,New South Wales,Australia,Lift,-34.072492,150.797478,NULL
6562,Menangle,500,NULL,Menangle Road,Campbelltown,2560,New South Wales,Australia,Lift,-34.072217,150.797388,NULL
6563,Menangle,501,NULL,Menangle Road,Campbelltown,2560,New South Wales,Australia,Stairs,-34.072553,150.797159,NULL
6564,Menangle,502,NULL,Menangle Road,Campbelltown,2560,New South Wales,Australia,Stairs,-34.072266,150.797075,NULL
6565,Burren,503,71,Burren Street,Newtown,2042,New South Wales,Australia,Stairs,-33.896791,151.185386,NULL
6566,Railway,504,278,Railway Parade,Macquarie Fields,2564,New South Wales,Australia,Stairs,-33.984842,150.879078,NULL
6567,Railway,505,276,Railway Parade,Macquarie Fields,2564,New South Wales,Australia,Ramp,-33.984966,150.878937,NULL
6568,Lane Cove,506,NULL,NULL,Macquarie Park,2113,New South Wales,Australia,Lift,-33.785444,151.128497,NULL
6569,Lane Cove,507,NULL,NULL,Macquarie Park,2113,New South Wales,Australia,Escalators,-33.785368,151.128445,NULL
6570,Lane Cove,508,37a,Waterloo Road,North Ryde,2113,New South Wales,Australia,Escalators,-33.785078,151.128004,NULL
6571,Lane Cove,509,37a,Waterloo Road,North Ryde,2113,New South Wales,Australia,Lift,-33.785062,151.127979,NULL
6572,Herring,510,NULL,NULL,Macquarie Park,2113,New South Wales,Australia,Lift,-33.777435,151.118471,NULL
6573,Herring,511,175,Herring Road,Macquarie Park,2113,New South Wales,Australia,Escalators,-33.777416,151.118413,NULL
6574,Herring,512,NULL,NULL,Macquarie Park,2109,New South Wales,Australia,Escalators,-33.777211,151.118104,NULL
6575,Herring,513,NULL,NULL,Macquarie Park,2109,New South Wales,Australia,Lift,-33.777168,151.118093,NULL
6576,Station,514,NULL,Station Street,Maitland,2320,New South Wales,Australia,Path,-32.737747,151.552236,NULL
6577,Harvey,515,62,Railway Road,Marayong,2148,New South Wales,Australia,Stairs,-33.746220,150.900311,NULL
6578,Harvey,516,64,Railway Road,Marayong,2148,New South Wales,Australia,Lift,-33.746017,150.900309,NULL
6579,Railway,517,62,Railway Road,Marayong,2148,New South Wales,Australia,Stairs,-33.746230,150.900047,NULL
6580,Railway,518,62,Railway Road,Marayong,2148,New South Wales,Australia,Lift,-33.746022,150.900042,NULL
6581,Marion,519,2A,Marion Street,Haberfield,2045,New South Wales,Australia,Path,-33.883915,151.144996,NULL
6582,Station,520,12,Station Street,Marrickville,2204,New South Wales,Australia,Path,-33.913975,151.153316,NULL
6583,Illawarra,521,10,Station Street,Marrickville,2204,New South Wales,Australia,Stairs,-33.913757,151.153224,NULL
6584,Illawarra,522,10,Station Street,Marrickville,2204,New South Wales,Australia,Lift,-33.913781,151.153181,NULL
6585,Illawarra,523,2,Station Street,Marrickville,2204,New South Wales,Australia,Lift,-33.913835,151.153151,NULL
6586,Illawarra,524,2,Station Street,Marrickville,2204,New South Wales,Australia,Stairs,-33.913863,151.153138,NULL
6587,Macquarie,525,65,Martin Place,Sydney,2000,New South Wales,Australia,Stairs,-33.867962,151.211624,1
6588,Phillip,526,158,Phillip Street,Sydney,2000,New South Wales,Australia,Lift,-33.867725,151.211419,4
6589,Phillip,527,NULL,NULL,Sydney,2000,New South Wales,Australia,Stairs,-33.867961,151.211355,2
6590,Elizabeth,528,NULL,NULL,Sydney,2000,New South Wales,Australia,Stairs,-33.867709,151.210828,5
6591,Elizabeth,529,39,Elizabeth Street,Sydney,2000,New South Wales,Australia,Stairs,-33.867949,151.210511,6
6592,Elizabeth,530,48,Martin Place,Sydney,2000,New South Wales,Australia,Stairs,-33.867730,151.210204,7
6593,Grace,531,2,Cory Street,Martins Creek,2420,New South Wales,Australia,Ramp,-32.558481,151.618412,NULL
6594,Wollondilly,532,1,Wollondilly Street,Marulan,2579,New South Wales,Australia,Path,-34.709501,150.005677,NULL
6595,Railway,533,1,Wollondilly Street,Marulan,2579,New South Wales,Australia,Path,-34.709599,150.005669,NULL
6596,Bourke,534,32,John Street,Mascot,2020,New South Wales,Australia,Stairs,-33.923159,151.187392,NULL
6597,Bourke,535,32,John Street,Mascot,2020,New South Wales,Australia,Escalators,-33.923158,151.187362,NULL
6598,Bourke,536,7,Bourke Street,Mascot,2020,New South Wales,Australia,Lift,-33.923363,151.187339,NULL
6599,Constitution,537,64,Constitution Road,Meadowbank,2114,New South Wales,Australia,Lift,-33.815669,151.090224,NULL
6600,Constitution,538,64,Constitution Road,Meadowbank,2114,New South Wales,Australia,Stairs,-33.815795,151.090208,NULL
6601,Bank,539,NULL,Bank Street,Meadowbank,2114,New South Wales,Australia,Lift,-33.815627,151.089939,NULL
6602,Bank,540,27,Bank Street,Meadowbank,2114,New South Wales,Australia,Ramp,-33.815555,151.089916,NULL
6603,Great Western,541,50,A32,Medlow Bath,2780,New South Wales,Australia,Ramp,-33.674654,150.281141,NULL
6604,Great Western,542,1,Atlingworth Parade,Medlow Bath,2780,New South Wales,Australia,Stairs,-33.672953,150.280391,NULL
6605,Stevens,543,NULL,Stevens Road,Menangle,2568,New South Wales,Australia,Ramp,-34.125394,150.744180,NULL
6606,Stevens,544,NULL,Stevens Road,Menangle,2568,New South Wales,Australia,Path,-34.125855,150.744066,NULL
6607,Racecourse,545,72,Racecourse Avenue,Menangle Park,2563,New South Wales,Australia,Ramp,-34.103381,150.745079,NULL
6608,Racecourse,546,72,Racecourse Avenue,Menangle Park,2563,New South Wales,Australia,Ramp,-34.103385,150.744950,NULL
6609,Railway,547,91,Merrylands Road,Merrylands,2160,New South Wales,Australia,Ramp,-33.836695,150.992669,NULL
6610,Terminal,548,1,Terminal Place,Merrylands,2160,New South Wales,Australia,Ramp,-33.836314,150.992666,NULL
6611,Railway,549,91,Merrylands Road,Merrylands,2160,New South Wales,Australia,Stairs,-33.836805,150.992561,NULL
6612,Railway,550,91,Merrylands Road,Merrylands,2160,New South Wales,Australia,Lift,-33.836906,150.992375,NULL
6613,Railway,551,126,Merrylands Road,Merrylands,2160,New South Wales,Australia,Ramp,-33.836948,150.992327,NULL
6614,Terminal,552,137,Merrylands Road,Merrylands,2160,New South Wales,Australia,Stairs,-33.836582,150.992281,NULL
6615,Terminal,553,116,Railway Terrace,Merrylands,2160,New South Wales,Australia,Lift,-33.836790,150.992228,NULL
6616,Terminal,554,137,Merrylands Road,Merrylands,2160,New South Wales,Australia,Stairs,-33.836715,150.992163,NULL
6617,Railway,555,126,Merrylands Road,Merrylands,2160,New South Wales,Australia,Stairs,-33.837154,150.992075,NULL
6618,Terminal,556,131,Merrylands Road,Merrylands,2160,New South Wales,Australia,Ramp,-33.836851,150.992015,NULL
6619,Terminal,557,134,Merrylands Road,Merrylands,2160,New South Wales,Australia,Stairs,-33.837050,150.991837,NULL
6620,McCubbin,558,8,McCubbin Close,Metford,2323,New South Wales,Australia,Stairs,-32.765478,151.618292,NULL
6621,McCubbin,559,8,McCubbin Close,Metford,2323,New South Wales,Australia,Lift,-32.765360,151.618132,NULL
6622,Ennis,560,10,Ennis Road,Milsons Point,2061,New South Wales,Australia,Ramp,-33.845795,151.212403,NULL
6623,Alfred,561,NULL,NULL,Milsons Point,2061,New South Wales,Australia,Path,-33.845946,151.211719,NULL
6624,Tocal,562,392,Tocal Road,Mindaribba,2320,New South Wales,Australia,Ramp,-32.668350,151.584553,NULL
6625,North,563,8,North Street,Minnamurra,2533,New South Wales,Australia,Ramp,-34.626330,150.853009,NULL
6626,Minto,564,2,Minto Road,Minto,2566,New South Wales,Australia,Stairs,-34.027504,150.842600,NULL
6627,Minto,565,4,Minto Road,Minto,2566,New South Wales,Australia,Lift,-34.027644,150.842564,NULL
6628,Minto,566,2,Minto Road,Minto,2566,New South Wales,Australia,Ramp,-34.027769,150.842550,NULL
6629,Somerset,567,9,Wiltshire Street,Minto,2566,New South Wales,Australia,Stairs,-34.027220,150.842327,NULL
6630,Somerset,568,9,Wiltshire Street,Minto,2566,New South Wales,Australia,Lift,-34.027466,150.842237,NULL
6631,Somerset,569,11,Wiltshire Street,Minto,2566,New South Wales,Australia,Ramp,-34.027693,150.842231,NULL
6632,Kiora,570,92,Kiora Road,Miranda,2228,New South Wales,Australia,Stairs,-34.036075,151.101970,NULL
6633,Kiora,571,92,Kiora Road,Miranda,2228,New South Wales,Australia,Ramp,-34.036075,151.101970,NULL
6634,Railway,572,38,Railway Parade,Mittagong,2575,New South Wales,Australia,Stairs,-34.452638,150.448385,NULL
6635,Regent,573,1,Station Street,Mittagong,2575,New South Wales,Australia,Stairs,-34.452403,150.448362,NULL
6636,Macquarie,574,108,Macquarie Street,Morisset,2264,New South Wales,Australia,Lift,-33.109036,151.488290,NULL
6637,Macquarie,575,108,Macquarie Street,Morisset,2264,New South Wales,Australia,Ramp,-33.109029,151.488249,NULL
