SchoolId,SchoolCode,SchoolName,StreetNumber,StreetName,Suburb,District,PostCode,State,Country,LevelOfSchooling,Latitude,Longitude,SchoolSpecialtyType,SchoolSubType,SchoolGender
788,7419,Glebe Public School,NULL,NULL,Glebe,,2037,New South Wales,Australia,Primary School,-33.883685,151.190970,Comprehensive,Kinder to Year 6,Coed
789,3903,Glen Alice Public School,37,Upper Nile Road,Glen Alice,,2849,New South Wales,Australia,Primary School,-33.040623,150.214727,Comprehensive,Kinder to Year 6,Coed
790,8114,Glen Innes High School,25,Edward Street,Glen Innes,,2370,New South Wales,Australia,Secondary School,-29.744294,151.742487,Comprehensive,Year 7 to Year 12,Coed
791,2005,Glen Innes Public School,153,Taylor Street,Glen Innes,,2370,New South Wales,Australia,Primary School,-29.735142,151.740989,Comprehensive,Kinder to Year 6,Coed
792,5116,Glen Innes West Infants School,30,Railway Street,Glen Innes,,2370,New South Wales,Australia,Infants School,-29.738734,151.723882,Comprehensive,Kinder to Year 2,Coed
793,2020,Glen William Public School,717,Glen William Road,Glen William,,2321,New South Wales,Australia,Primary School,-32.525391,151.797940,Comprehensive,Kinder to Year 6,Coed
794,1994,Glenbrook Public School,10,Park Street,Glenbrook,,2773,New South Wales,Australia,Primary School,-33.765996,150.621286,Comprehensive,Kinder to Year 6,Coed
795,4207,Glendale East Public School,46,Clarence Street,Glendale,,2285,New South Wales,Australia,Primary School,-32.927568,151.654410,Comprehensive,Kinder to Year 6,Coed
796,8466,Glendale High School,30,Oakland Street,Glendale,,2285,New South Wales,Australia,Secondary School,-32.925928,151.642938,Technology,Year 7 to Year 12,Coed
797,4608,Glendenning Public School,135,Armitage Drive,Glendenning,,2761,New South Wales,Australia,Primary School,-33.742230,150.852638,Comprehensive,Kinder to Year 6,Coed
798,4620,Glendore Public School,16,Glendore Parade,Maryland,,2287,New South Wales,Australia,Primary School,-32.873641,151.649712,Comprehensive,Kinder to Year 6,Coed
799,5401,Glenfield Park School,NULL,NULL,Glenfield,,2167,New South Wales,Australia,Schools for Specific Purposes,-33.967931,150.878601,Comprehensive,Medium / High Support needs,Coed
800,2001,Glenfield Public School,54,Railway Parade,Glenfield,,2167,New South Wales,Australia,Primary School,-33.971005,150.896584,Comprehensive,Kinder to Year 6,Coed
801,2003,Glenhaven Public School,74A,Glenhaven Road,Glenhaven,,2156,New South Wales,Australia,Primary School,-33.700792,151.002882,Comprehensive,Kinder to Year 6,Coed
802,8276,Glenmore Park High School,6,Naoi Place,Glenmore Park,,2745,New South Wales,Australia,Secondary School,-33.791012,150.672564,Comprehensive,Year 7 to Year 12,Coed
